adult,backdrop_path,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,tmdbUrl
FALSE,/k3wfgR5dRYBtfwisuISJ3H4lgQ0.jpg,ja,ONE PIECE FILM RED,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",67.266,/ogDXuVkO92GcETZfSofXXemw7gb.jpg,2022-08-06,One Piece Film Red,FALSE,7.26,854,"Animation,Adventure,Action,Fantasy,Music",https://www.themoviedb.org/movie/900667
FALSE,/uMSxXLfH7v30gRNBqsQaSP3yqX5.jpg,en,Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",122.023,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022-06-29,Minions: The Rise of Gru,FALSE,7.343,3302,"Animation,Comedy,Family",https://www.themoviedb.org/movie/438148
FALSE,/wUwizGzbTk5CTiKBnE4Pq1MONwD.jpg,en,The Sea Beast,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",58.52,/9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg,2022-06-24,The Sea Beast,FALSE,7.375,1357,"Animation,Adventure,Family,Fantasy",https://www.themoviedb.org/movie/560057
FALSE,/2P3R5sSvPjlbkh4ZnVPqjck0iW5.jpg,ja,ドラゴンボール超 スーパーヒーロー,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",123.902,/pi0iZOEHeA3ih4p1IwAG4x2DZNH.jpg,2022-06-11,Dragon Ball Super: Super Hero,FALSE,7.906,2689,"Animation,Science Fiction,Action",https://www.themoviedb.org/movie/610150
FALSE,/nW5fUbldp1DYf2uQ3zJTUdachOu.jpg,en,Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,42.81,/b9t3w1loraDh7hjdWmpc9ZsaYns.jpg,2022-06-15,Lightyear,FALSE,7.007,3247,"Animation,Science Fiction,Family,Adventure",https://www.themoviedb.org/movie/718789
FALSE,/qK7Ssnrfvrt65F66A1thvehfQg2.jpg,en,Chip 'n Dale: Rescue Rangers,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",50.25,/7UGmn8TyWPPzkjhLUW58cOUHjPS.jpg,2022-05-20,Chip 'n Dale: Rescue Rangers,FALSE,6.995,1136,"Animation,Family,Comedy,Adventure,Mystery",https://www.themoviedb.org/movie/420821
FALSE,/9IDJpHROaC0S1ZlIxrvzOcOX5yC.jpg,en,The Bad Guys,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",71.562,/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg,2022-03-17,The Bad Guys,FALSE,7.571,1848,"Family,Animation,Adventure,Comedy",https://www.themoviedb.org/movie/629542
FALSE,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,en,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",145.779,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022-03-10,Turning Red,FALSE,7.399,4841,"Animation,Family,Comedy,Fantasy",https://www.themoviedb.org/movie/508947
FALSE,/eG0oOQVsniPAuecPzDD1B1gnYWy.jpg,en,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,76.197,/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,2022-01-28,The Ice Age Adventures of Buck Wild,FALSE,6.636,1630,"Animation,Comedy,Adventure,Family",https://www.themoviedb.org/movie/774825
FALSE,/9SQ0ZLBAcv23D9xJ1nlgTWqDNc5.jpg,en,The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",33.137,/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg,2022-01-14,The House,FALSE,7.012,963,"Animation,Drama,Comedy,Horror,Fantasy",https://www.themoviedb.org/movie/926899
FALSE,/ep1urICLqtwwV1sTPHP9WXV4Uto.jpg,en,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",118.667,/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,2022-01-31,Hotel Transylvania: Transformania,FALSE,7.1,2567,"Animation,Comedy,Family,Adventure,Fantasy",https://www.themoviedb.org/movie/585083
FALSE,/5B22eed7ErxFiYAG4Ksb4eLwKNF.jpg,en,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",39.099,/jbAUTO7qFN8XFG2LM3bz30vzGFJ.jpg,2021-12-03,Back to the Outback,FALSE,7.741,699,"Family,Animation,Adventure,Comedy",https://www.themoviedb.org/movie/770254
