title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
The Steam Engines of Oz,The Steam Engines of Oz,Arcana Studio,,English,2018-05-08,2018-06-05,Family,/7N33DfWrDy7SnTj9ivn3ck52Her.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81404,https://www.themoviedb.org/movie/527795
Shopkins: Wild,Shopkins: Wild,Studio Moshi,Bang-Zoom! Studios,English,2018-04-17,2018-03-01,Other,/xBFONzKumCg2Iufoh2EhJXBFvAp.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=86990,https://www.themoviedb.org/movie/506640
Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,クレヨンしんちゃん 爆盛！カンフーボーイズ ～拉麺大乱～,Shin-Ei Animation,,Japanese,2018-04-13,2018-04-13,"Comedy,Adventure",/xWv5pUwyf96MDImATZYx0toI7T7.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81820,https://www.themoviedb.org/movie/507562
Batman Ninja,ニンジャバットマン,Warner Bros.,"Dr Movie, CoMix Wave Films, Oh! Production, Xenlon, Wafu Animation, Studio Colorido, Kamikaze Douga",Japanese,2018-06-15,2018-04-24,"Action,Science Fiction",/5xSB0Npkc9Fd9kahKBsq9P4Cdzp.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55557,https://www.themoviedb.org/movie/485942
Duck Duck Goose,Duck Duck Goose,Original Force Animation,"Yggdrazil Group Co., Ltd., Peppertree Post, Prana Animation Studios Inc., Studiopolis",English,2018-03-09,2018-07-20,"Family,Adventure,Comedy",/7XURM64DYa9DpS70I2rM4suvq1s.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55473,https://www.themoviedb.org/movie/375107
Maquia: When the Promised Flower Blooms,さよならの朝に約束の花をかざろう,P.A. Works,"Studio 4°C, CoMix Wave Films, Ufotable, Studio Easter, Actas, Xenlon, Silver Link, Kusanagi, CL Corporation, Sound Box",Japanese,2018-02-24,2018-02-24,"Adventure,Drama,Family,Fantasy,Romance",/hL3NqRE2ccR4Y2sYSJTrmalRjrz.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57737,https://www.themoviedb.org/movie/476292
Forget Me Not,Forglemmegei,Warner Bros. Television,,English,2018-02-19,2018-11-29,Other,/ql3BJnS7nHG62eXcLGtNkrkuN3Y.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77259,https://www.themoviedb.org/movie/584418
Isle of Dogs,Isle of Dogs,Twentieth Century Fox Film Corporation,,English,2018-03-23,2018-03-23,"Adventure,Comedy",/c0nUX6Q1ZB0P2t1Jo6EeFSVnOGQ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53939,https://www.themoviedb.org/movie/399174
Lego DC Comics Super Heroes: The Flash,Lego DC Comics Super Heroes: The Flash,Warner Bros.,,English,2018-02-13,2018-02-13,"Adventure,Comedy,Family,Science Fiction",/zxz7Qo3GhiHkkFl26tWJ3uIwXiJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53851,https://www.themoviedb.org/movie/504997
Maya the Bee: The Honey Games,Maya the Bee: The Honey Games,Studio 100,,English,2018-02-02,2018-07-26,"Comedy,Family,Adventure",/my34w43Z0l2XGvpHiAOYkTm6M8P.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=68099,https://www.themoviedb.org/movie/499088
The Star,The Star,Sony Pictures Animation,"Sony Pictures Animation, Jim Henson Productions, Cinesite Animation Studios, Walden Media",English,2017-11-15,2017-11-10,"Comedy,Adventure,Family,Fantasy",/xJgtHL8Iecp5Ot1oBkMdBl32yPh.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44882,https://www.themoviedb.org/movie/355547
Michael Jackson's Halloween,Michael Jackson's Halloween,Splash Entertainment,,English,2017-10-27,2017-10-27,"Comedy,Family",/9pNSxJsK32pfl5x2fl1HcwOUjV2.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=73321,https://www.themoviedb.org/movie/476481
Arthur and the Haunted Tree House,Arthur and the Haunted Tree House,Oasis Animation,,English,2017-10-23,2017-10-23,Other,/bXPyC3cXwv9rgJ29CEe6Kw5FOr1.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=74398,https://www.themoviedb.org/movie/643407
Condorito: The Movie,Condorito: la película,Aronnax Animation Studios,Pajarraco Films,Spanish,2017-10-12,2017-10-12,"Adventure,Comedy",/QycuE6N4gckEuYzg0kgW9276JR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=90423,https://www.themoviedb.org/movie/450314
Batman vs. Two-Face,Batman vs. Two-Face,Warner Bros.,Dr Movie,English,2017-11-14,2017-10-17,"Action,Comedy",/yTbj8Kcp4WFwMRdEejnn55KIsfH.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=50635,https://www.themoviedb.org/movie/464882
Hanazuki: Full of Treasures,Hanazuki: Full of Treasures,Hasbro Studios,,English,2017-10-06,2017-10-06,"Fantasy,Science Fiction,Family",/5ZL4kCUq9DFLnnQQtKP48xWaKTc.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=58983,https://www.themoviedb.org/movie/476480
The Lego Ninjago Movie,The Lego Ninjago Movie,Warner Animation Group,Animal Logic,English,2017-09-21,2017-09-22,"Family,Action,Adventure,Comedy",/vUo0pNXGhp2ffTJxiStWt6fHL7F.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44877,https://www.themoviedb.org/movie/274862
Mariah Carey's All I Want for Christmas Is You,Mariah Carey's All I Want for Christmas Is You,Splash Entertainment,Prime Focus,English,2017-09-11,2017-11-14,Family,/5jv1ZhB4H5SdlG9Q1dEL8WSIIGq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=47823,https://www.themoviedb.org/movie/474498
Monster Family,Monster Family,Ambient Entertainment,,English,2017-08-24,2017-08-24,"Family,Fantasy,Comedy",/gjDbd43e7o2Ssn7P1l50Bv0rtIl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=91573,https://www.themoviedb.org/movie/454699
Fireworks,打ち上げ花火、下から見るか？横から見るか？,Shaft,"Polygon Pictures, Inc., CoMix Wave Films, White Fox, Nakamura Production, Asahi Production, Akatsuki, Studio Elle, Triple A, Studio Pablo, Studio WHO, Silver Link",Japanese,2017-08-18,2017-08-18,"Drama,Fantasy",/ifm8CdFjYMfEq0bLT7XwJxjZmjO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55468,https://www.themoviedb.org/movie/431819
The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,ToonBox Entertainment,,English,2017-08-11,2017-08-11,"Family,Adventure,Comedy",/xOfdQHNF9TlrdujyAjiKfUhxSXy.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44730,https://www.themoviedb.org/movie/335777
The Secret Life of Kyle,The Secret Life of Kyle,Illumination Entertainment,Illumination Mac Guff,English,2017-08-02,2017-12-05,"Comedy,Family",/w5UR1ESmj0SGQgFLWlZ3G4UR3hc.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51007,https://www.themoviedb.org/movie/484809
Bluehilda,Bluehilda,Titmouse Inc.,,English,2017-07-28,2017-07-28,"Adventure,Comedy,Fantasy",/k3psqIrOdRH32Q7MHRv4VaRt8by.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=59759,https://www.themoviedb.org/movie/513290
The Son of Bigfoot,The Son of Bigfoot,nWave Pictures,,English,2017-07-26,2017-08-11,"Family,Comedy",/5yCQvhFuFPY0pACxoUpLUlYCxop.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48456,https://www.themoviedb.org/movie/413644
The Emoji Movie,The Emoji Movie,Sony Pictures Animation,"Sony Pictures Animation, Sony Pictures Imageworks",English,2017-07-23,2017-07-28,"Family,Comedy",/f5pF4OYzh4wb1dYL2ARQNdqUsEZ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44590,https://www.themoviedb.org/movie/378236
Puppy!,Puppy!,Sony Pictures Animation,,English,2017-07-28,2017-07-28,"Family,Fantasy,Comedy",/sNxIazoQqDQukfQqkYxTgx9DRbu.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57484,https://www.themoviedb.org/movie/459159
Despicable Me 3,Despicable Me 3,Illumination Entertainment,Illumination Mac Guff,English,2017-06-15,2017-06-30,"Action,Comedy,Family,Adventure",/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41968,https://www.themoviedb.org/movie/324852
