title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
Nerdland,Nerdland,Titmouse Inc.,,English,2016-12-06,2016-12-06,Comedy,/lBzgtwaSWHdcuqvXpfkqGPq7uvr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81485,https://www.themoviedb.org/movie/389627
Sausage Party,Sausage Party,Nitrogen Studios Canada,"Sony Pictures Imageworks, Annapurna Pictures, Point Grey",English,2016-07-11,2016-08-12,"Adventure,Comedy,Fantasy",/vNgdPJQ5CI60oEiiHLKRNrsDhMy.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=37974,https://www.themoviedb.org/movie/223702
Monster High: Great Scarrier Reef,Monster High: Great Scarrier Reef,Nerd Corps Entertainment,,English,2016-02-12,2016-03-08,Family,/fSyx6I8PVT91d6LgNReYLRyDt0e.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77941,https://www.themoviedb.org/movie/382581
Robinson Crusoe,Robinson Crusoe,nWave Pictures,StudioCanal,German,2016-02-04,2016-03-30,"Adventure,Comedy,Family",/oW2CeCoFJKD57iyml0vWGRKKPaI.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48455,https://www.themoviedb.org/movie/368940
Digital Romance,Digital Romance,Wil Film,,English,2016-02-01,2016-02-01,Other,,https://www.intanibase.com/iad_entries/entry.aspx?shortID=76027,https://www.themoviedb.org/movie/1103947
Norm of the North,Norm of the North,Splash Entertainment,"Assemblage Entertainment, Studiopolis",English,2016-01-14,2016-01-15,"Adventure,Comedy,Family",/ouaoVSV7aOSWTNnQ9iDA1jw0pgg.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=47824,https://www.themoviedb.org/movie/276905
April and the Extraordinary World,Avril et le monde truqué,Je Suis Bien Content,"Kaibou Production, Need Productions",French,2015-11-04,2015-11-04,"Thriller,Adventure,Comedy,Fantasy,Science Fiction",/cenqAhHFJRGf08L8rgvHTlFrLuL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57142,https://www.themoviedb.org/movie/340357
Riley's First Date?,Riley's First Date?,Pixar,,English,2015-11-03,2015-11-03,Family,/cGLwfmLqg39822RFQMUDat0UJev.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=34955,https://www.themoviedb.org/movie/355338
Top Cat Begins,Don Gato: El Inicio de la Pandilla,Anima Estudios,,Spanish,2015-10-30,2015-10-30,"Comedy,Family",/qqgXfEgWUm3GjQ1QorETpACXeZQ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80131,https://www.themoviedb.org/movie/293644
"Monster High: Boo York, Boo York","Monster High: Boo York, Boo York",Nerd Corps Entertainment,,English,2015-10-19,2015-09-29,Family,/jdYMuynxD7T6wovmE5mHzy6u91J.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77940,https://www.themoviedb.org/movie/360404
Sanjay's Super Team,Sanjay's Super Team,Pixar,,English,2015-11-18,2015-06-15,"Family,Fantasy,Action",/mShcGzOctlq6zs33UdrCdAwZMGq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=31091,https://www.themoviedb.org/movie/345637
Birdboy: The Forgotten Children,"Psiconautas, los niños olvidados",Zircozine Animation,Basque Films,Spanish,2015-09-24,2015-09-24,"Science Fiction,Drama",/xS6M8jigRzQ0oFG0SdAQBfmEYtd.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56211,https://www.themoviedb.org/movie/361705
Hotel Transylvania 2,Hotel Transylvania 2,Sony Pictures Animation,Sony Pictures Imageworks,English,2015-09-21,2015-09-25,"Comedy,Family,Fantasy",/kKFgwQnR5q08UFsAvtoYyTIiHyj.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=34329,https://www.themoviedb.org/movie/159824
The Anthem of the Heart,心が叫びたがってるんだ。,A-1 Pictures,"Madhouse, Oh! Production, A-Real, Ufotable, Studio CJ, Asahi Production, Anitus Kobe, A-Line, Production IMS, Wafu Animation, Studio Cockpit, Studio Graffiti, Triple A, Acca Effe, Studio Colorido, Graphinica, Reverse Image Creation (RIC), Studio Rings, Rising Force, Diomedéa, F.A.I. International",Japanese,2015-09-19,2015-09-19,"Drama,Romance",/7bJHM6t6j3YLjDNTwe4hyghKqSr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56358,https://www.themoviedb.org/movie/364111
Competition,Competition,Illumination Entertainment,Illumination Mac Guff,English,2015-09-08,2015-12-08,Family,/3GPpdINtXBkRNq0Ww9J2xgCmhGr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41964,https://www.themoviedb.org/movie/366142
Cro Minion,Cro Minion,Illumination Entertainment,Illumination Mac Guff,English,2015-11-04,2015-12-08,Family,/gduXRlGrywqLry0sdDrf37Tyibh.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41963,https://www.themoviedb.org/movie/366141
Binky Nelson Unpacified,Binky Nelson Unpacified,Illumination Entertainment,Illumination Mac Guff,English,2015-11-04,2015-12-08,Family,/ty9DL5MECbO2v2rbMuoxOJXRM0p.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41965,https://www.themoviedb.org/movie/366143
Capture the Flag,Atrapa la bandera,Lightbox Entertainment,,Spanish,2015-08-28,2015-08-28,"Comedy,Adventure,Family",/vHzwrSVDnu6Uza6GL0WYzkeXHS1.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48466,https://www.themoviedb.org/movie/300602
Blinky Bill the Movie,Blinky Bill the Movie,Studio 100,,English,2015-08-21,2015-09-17,"Family,Adventure",/uVxiQLQKHSJSRvqcnsFHzVjHjvw.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=68098,https://www.themoviedb.org/movie/339669
Looney Tunes: Rabbits Run,Looney Tunes: Rabbits Run,Warner Bros.,Rough Draft Korea,English,2015-08-04,2015-07-07,Comedy,/fEzGg81jV0OBjy3rxQtfU9WMlOt.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=35397,https://www.themoviedb.org/movie/349045
Batman Unlimited: Monster Mayhem,Batman Unlimited: Monster Mayhem,Warner Bros.,Dr Movie,English,2015-08-18,2015-08-18,"Action,Family",/jceXBNFMPLAKlo2MPJGJlXJBQJL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53853,https://www.themoviedb.org/movie/342917
The Boy and the Beast,バケモノの子,Studio Chizu,"Madhouse, Telecom Animation Film Co., Ltd., CoMix Wave Films, Studio Khara, Oh! Production, White Fox, Atelier BWCA, M.S.J. Musashino Production, Studio Wyeth, Satelight, Acca Effe, Studio Takuranke",Japanese,2015-07-11,2015-07-11,"Action,Adventure,Drama,Family,Fantasy",/kzKJxfIdZ70nsPfKyq7hlYlJwSx.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55627,https://www.themoviedb.org/movie/315465
Ghost in the Shell: The New Movie,攻殻機動隊 新劇場版,Production I.G,,Japanese,2015-06-20,2015-06-20,Science Fiction,/d6TaDCmvX0D2fdeNIxWAR69bhiH.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83777,https://www.themoviedb.org/movie/334376
Minions,Minions,Illumination Entertainment,,English,2015-06-17,2015-07-10,"Family,Adventure,Comedy",/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=33323,https://www.themoviedb.org/movie/211672
Tom and Jerry: Spy Quest,Tom and Jerry: Spy Quest,Warner Bros.,"Yearim Productions Co., Ltd.",English,2015-06-09,2015-06-23,"Comedy,Family",/5tCVbv0OlEdhBSnK0f7xO39uLwn.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=35275,https://www.themoviedb.org/movie/343977
Typhoon Noruda,台風のノルダ,Studio Colorido,"Studio 4°C, Production I.G, CoMix Wave Films, Studio Khara, Science Saru, Triple A, Wit Studio",Japanese,2015-06-05,2015-06-05,Science Fiction,/15z0JrLFFAP39V7WYiOHeZktkPL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80320,https://www.themoviedb.org/movie/358632
Pixies,Pixies,Arcana Studio,,English,2015-06-05,2015-06-05,Comedy,/hX9TgZ3bnCu3QGwC0ISAowAiNfJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81401,https://www.themoviedb.org/movie/348746
Batman Unlimited: Animal Instincts,Batman Unlimited: Animal Instincts,Warner Bros.,,English,2015-05-12,2015-05-12,"Action,Family",/9e6iPMBr9rQKPoK8g3YDTVvI5ud.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53852,https://www.themoviedb.org/movie/327418
Miss Hokusai,百日紅 〜Miss HOKUSAI〜,Production I.G,"OLM, Inc., Studio 4°C, J.C.Staff, Studio Pierrot, Gainax, CoMix Wave Films, APPP, Bones, Trigger, Studio Khara, Oh! Production, White Fox, Doga Kobo, Anime Torotoro, P.A. Works, Ufotable, Tatsunoko Production, Studio Live, Asahi Production, Anitus Kobe, A-Line, Xenlon, Studio Elle, Seven Arcs, Satelight, Silver Link, CL Corporation, Acca Effe, Asread",Japanese,2015-05-09,2015-05-09,Drama,/21botnUdVFVeg2nb8j5SHfupWD9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56232,https://www.themoviedb.org/movie/267970
Scooby-Doo! and the Beach Beastie,Scooby-Doo! and the Beach Beastie,Warner Bros. Television,"Dong Woo Animation Co., Ltd., Advantage Audio, Salami Studios",English,2015-05-05,2015-05-05,"Family,Mystery,Comedy,Fantasy",/6tqBzcWJ1MVeP2emyVEHTQHPyJA.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=50951,https://www.themoviedb.org/movie/340884
Boruto: Naruto the Movie,BORUTO -NARUTO THE MOVIE-,Studio Pierrot,,Japanese,2015-08-07,2015-08-07,"Adventure,Action,Comedy,Fantasy",/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82962,https://www.themoviedb.org/movie/347201
Crayon Shin-chan: My Moving Story! Cactus Large Attack!,クレヨンしんちゃん オラの引越し物語 サボテン大襲撃,Shin-Ei Animation,,Japanese,2015-04-18,2015-04-18,"Adventure,Comedy",/6t3WfoDWuyoayLj8G2F52xtOCEl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81817,https://www.themoviedb.org/movie/371236
Dragon Ball Z: Resurrection 'F',ドラゴンボールZ 復活の「F」,Toei Animation,"Studio Live, Toei Animation Philippines, Asahi Production, A-Line, Kagura, Studio Graffiti, Triple A, Athens Art Studio, Studio Myu, Buyu, Mukuo Studio, Magic House, Tokyo Animation Center, Magic Bus",Japanese,2015-04-18,2015-04-18,"Action,Science Fiction",/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=62181,https://www.themoviedb.org/movie/303857
Monster High: Haunted,Monster High: Haunted,Nerd Corps Entertainment,,English,2015-03-02,2015-03-24,"Family,Fantasy",/jvwpfW0xRt2pQGD5tJbqmkc9STb.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77939,https://www.themoviedb.org/movie/324963
Scooby-Doo! Moon Monster Madness,Scooby-Doo! Moon Monster Madness,Warner Bros.,Digital eMation,English,2015-02-03,2015-02-17,"Adventure,Family,Comedy,Mystery,Science Fiction",/gwyT0ljh8mVViwO6N5p4ACcIsW5.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=34918,https://www.themoviedb.org/movie/302960
The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,United Plankton Pictures,"Rough Draft Korea, Screen Novelties, Paramount Animation, Six Point Harness, Inc., Iloura",English,2015-01-28,2015-02-06,"Family,Adventure,Comedy,Fantasy",/2WDmjUlSAPlA27i2OwEC7sRTFw3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=23615,https://www.themoviedb.org/movie/228165
Curious George 3: Back to the Jungle,Curious George 3: Back to the Jungle,Universal Cartoon Studios,"Universal Cartoon Studios, Imagine Entertainment, BV Animation Studio Co., Ltd., Tycoon Animation, Inc.",English,2015-01-26,2015-06-23,"Family,Adventure",/rPKrI43SisZh3Q1jnzzwzQXNmTz.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44617,https://www.themoviedb.org/movie/338103
Shaun the Sheep Movie,Shaun the Sheep Movie,Aardman,StudioCanal,English,2015-02-05,2015-01-22,"Family,Comedy,Adventure",/cAOyc1wykhkOJ5Vm0BdjsGrLbeD.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41117,https://www.themoviedb.org/movie/263109
Strange Magic,Strange Magic,Industrial Light &amp; Magic,,English,2015-01-23,2015-01-23,"Family,Fantasy",/vjCdrK8gGRFnyuZb1j9BzgN2RaY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48169,https://www.themoviedb.org/movie/302429
Psycho-Pass: The Movie,劇場版 サイコパス,Production I.G,"Madhouse, Dr Movie, Studio Pierrot, APPP, MAPPA, Trigger, Oh! Production, Doga Kobo, Nakamura Production, P.A. Works, Asahi Production, Anitus Kobe, A-Line, Studio MARK, Xenlon, Studio Elle, Studio Graffiti, Triple A, Ace Company, Satelight, Art Box, Jumondo, Acca Effe, G&amp;G Direction",Japanese,2015-01-09,2015-01-09,"Science Fiction,Action",/hUlhPosXp62uuTS0c2aINdg8cvV.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56363,https://www.themoviedb.org/movie/296917
The Last: Naruto the Movie,THE LAST -NARUTO THE MOVIE-,Studio Pierrot,,Japanese,2014-12-06,2014-12-06,"Action,Romance",/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82961,https://www.themoviedb.org/movie/317442
How Murray Saved Christmas,How Murray Saved Christmas,Universal Pictures,"Rough Draft Studios, Rough Draft Korea",English,2014-12-05,2014-12-05,"Adventure,Comedy",/oXCSbLNQG4MlG9qyrrx3fctnpb4.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24603,https://www.themoviedb.org/movie/306449
Toy Story That Time Forgot,Toy Story That Time Forgot,Pixar,,English,2014-12-02,2014-12-02,"Family,Adventure,Comedy",/pw1YgzcBw4GmwylrFlXMzLdELRo.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24403,https://www.themoviedb.org/movie/256835
ME!ME!ME!,ME!ME!ME!,Studio Khara,"Ashi Productions, Oh! Production",Japanese,2014-11-21,2014-11-21,Other,/dqEuu3jrYMkbSakwUveP69AxsMM.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56342,https://www.themoviedb.org/movie/787561
Expelled from Paradise,楽園追放,Toei Animation,Graphinica,Japanese,2014-11-15,2014-11-15,"Science Fiction,Action,Adventure",/o10E2L0lm3DReXhH49jG2if2MwL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=87149,https://www.themoviedb.org/movie/304023
The Dragon Dentist,龍の歯医者,Studio Khara,"Ashi Productions, Oh! Production, Anime Torotoro, M.S.J. Musashino Production, Kagura",Japanese,2014-11-07,2014-11-07,Fantasy,/1OkDThEFDAHkMmZvSsYXQ9b1q2O.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56346,https://www.themoviedb.org/movie/367548
Lava,Lava,Pixar,,English,2014-10-10,2014-06-14,Family,/n7C5rbdwEsVGdzBTayjjhavB8b9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=31090,https://www.themoviedb.org/movie/286192
Monster High: Freaky Fusion,Monster High: Freaky Fusion,Nerd Corps Entertainment,,English,2014-10-06,2014-09-30,Other,/9uzE33joqoAhXpaDqAFSKPMs4E4.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77938,https://www.themoviedb.org/movie/290727
The Boxtrolls,The Boxtrolls,Laika,,English,2014-09-10,2014-09-26,"Comedy,Family,Fantasy",/xDw2kqSDsYneL3g9OIpExPfqpHJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24942,https://www.themoviedb.org/movie/170687
Mortadelo and Filemon: Mission Implausible,Mortadelo y Filemón contra Jimmy el Cachondo,Ilion Animation Studios,,Spanish,2014-08-30,2014-11-28,"Comedy,Adventure",/sPe5NAeegRoRTkngYfZgANppNN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80645,https://www.themoviedb.org/movie/227738
Jungle Shuffle,Jungle Shuffle,WonderWorld Studios,The Animation Picture Company,English,2014-08-07,2014-10-02,"Family,Adventure",/crcj3IEAUtzIySVjw3HN2tS910S.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80182,https://www.themoviedb.org/movie/283671
Scooby-Doo! Frankencreepy,Scooby-Doo! Frankencreepy,Warner Bros.,Digital eMation,English,2014-08-05,2014-08-19,"Family,Mystery,Comedy,Science Fiction",/9Ql1KEdLPr0bl5503qFiUscDT1q.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44941,https://www.themoviedb.org/movie/284995
Tom and Jerry: The Lost Dragon,Tom and Jerry: The Lost Dragon,Warner Bros.,"Yearim Productions Co., Ltd., Advantage Audio",English,2014-07-27,2014-09-02,"Comedy,Family,Fantasy",/s2Tegfa5IOUkFx988FgTFZth189.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39122,https://www.themoviedb.org/movie/287233
When Marnie Was There,思い出のマーニー,Studio Ghibli,"The Answerstudio, Studio Khara, Oh! Production, Doga Kobo, Anime Torotoro, Nakamura Production, Tatsunoko Production, Asahi Production, Wafu Animation, Studio Cockpit",Japanese,2014-07-19,2014-07-19,Drama,/at7lShVfMdohEzC1VZYTZXY0hzP.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20702,https://www.themoviedb.org/movie/242828
Girls und Panzer: This Is the Real Anzio Battle!,ガールズ&パンツァー これが本当のアンツィオ戦です！,Actas,,Japanese,2014-07-05,2014-07-05,"Comedy,Action",/pJ7JBbHypOboHXtSp27spSlHtqg.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=93144,https://www.themoviedb.org/movie/480976
Flash in the Pain,Flash in the Pain,Warner Bros.,Reel FX,English,2014-06-10,2014-06-10,Other,/3pxAyRhorgeKMcaXjzFIKJByneU.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39009,https://www.themoviedb.org/movie/536883
Scooby-Doo! Ghastly Goals,Scooby-Doo! Ghastly Goals,Warner Bros. Television,"Dong Woo Animation Co., Ltd., Advantage Audio, Salami Studios",English,2014-05-13,2014-05-13,"Family,Mystery,Comedy",/dlpVgPDZRKwPGDyRQnryKTHinR0.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51010,https://www.themoviedb.org/movie/297102
Bear Story,Historia de un oso,Punkrobot Animation Studio,,Spanish,2014-05-08,2014-05-08,Drama,/e1jOg4lKOfWmOhfX2hjHpVkGlau.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=75986,https://www.themoviedb.org/movie/351981
Heaven's Lost Property Final – The Movie: Eternally My Master,そらのおとしものFinal 永遠の私の鳥籠,Production IMS,,Japanese,2014-04-27,2014-04-26,"Romance,Science Fiction,Comedy",/yZt3jMOzTG1MyF9bPfKEE67VB7q.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83717,https://www.themoviedb.org/movie/246464
Crayon Shin-chan: Intense Battle! Robo Dad Strikes Back,クレヨンしんちゃん ガチンコ!逆襲のロボとーちゃん,Shin-Ei Animation,,Japanese,2014-04-19,2014-04-19,Comedy,/esfaXxlsOfUwWknzvUq9n0M0fiS.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81816,https://www.themoviedb.org/movie/305143
"Monster High: Frights, Camera, Action!","Monster High: Frights, Camera, Action!",Nerd Corps Entertainment,,English,2014-03-25,2014-03-25,"Family,Fantasy",/kGlTFeilg6RtyYi86kRQRml8CRG.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77937,https://www.themoviedb.org/movie/260234
Scooby-Doo! WrestleMania Mystery,Scooby-Doo! WrestleMania Mystery,Warner Bros.,Digital eMation,English,2014-03-11,2014-03-25,"Comedy,Family,Mystery",/vgnxicD1qvhTrh4db9F7hJLoOaa.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44943,https://www.themoviedb.org/movie/258893
The Satellite Girl and Milk Cow,우리별 일호와 얼룩소,Animation Studio NOWORNEVER,,Korean,2014-02-20,2014-02-20,"Comedy,Family,Science Fiction,Fantasy",/rXDJwfaECWJvt3FBcUpb9LfLn7U.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56210,https://www.themoviedb.org/movie/252509
The Lego Movie,The Lego Movie,Warner Animation Group,"Animal Logic, Village Roadshow Pictures",English,2014-02-06,2014-02-07,"Family,Adventure,Comedy,Fantasy",/9klB7qKC9aCeGyyM4uU5hSA6xDV.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=18717,https://www.themoviedb.org/movie/137106
JLA Adventures: Trapped in Time,JLA Adventures: Trapped in Time,Warner Bros.,Dr Movie,English,2014-01-21,2014-01-21,"Family,Action,Science Fiction",/qchNuTbnleCtlIB8wyV03f36VuF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=71051,https://www.themoviedb.org/movie/251768
The Nut Job,The Nut Job,ToonBox Entertainment,,English,2014-01-17,2014-01-17,"Comedy,Family,Adventure",/4iHnGlmOjAj2k5zUftYDIzSITCf.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44728,https://www.themoviedb.org/movie/227783
Party Central,Party Central,Pixar,,English,2014-02-20,2014-03-21,"Family,Comedy",/whqMDEZq4TYv0zU0UV0iw4i2qi8.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=17292,https://www.themoviedb.org/movie/258152
Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,Summertime Entertainment,"Prana Animation Studios Inc., Duncan Studio, Super Sonics Productions, Margarita Mix",English,2014-05-08,2014-05-09,"Family,Fantasy",/mpMX4avGjpQ0LSgDUTebxdTD81T.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=50942,https://www.themoviedb.org/movie/59981
Puppy,Puppy,Illumination Entertainment,Illumination Mac Guff,English,2013-12-10,2013-12-10,"Family,Comedy,Science Fiction",/f62rLpyiebBc6QfSTA4xGwwQkPY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15049,https://www.themoviedb.org/movie/229407
Panic in the Mailroom,Panic in the Mailroom,Illumination Entertainment,Illumination Mac Guff,English,2013-12-10,2013-12-10,"Family,Comedy,Science Fiction",/ylB6KNFNAkWH06j32EoUXGKOsGe.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15050,https://www.themoviedb.org/movie/229405
Saving Santa,Saving Santa,Prana Animation Studios Inc.,,English,2013-11-05,2013-11-01,"Comedy,Family",/aH7XiXYDVPhs4lj4PsrrjTwHdRt.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=60727,https://www.themoviedb.org/movie/238302
Transformers Prime Beast Hunters: Predacons Rising,Transformers Prime Beast Hunters: Predacons Rising,Hasbro Studios,"Advantage Audio, Keep Me Posted, Studiopolis, Slightly Off Track",English,2013-10-04,2013-10-04,"Action,Science Fiction",/4T4pQqr2RoVgWQYtIzDGMByktwq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=69188,https://www.themoviedb.org/movie/268092
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,Sony Pictures Animation,Sony Pictures Imageworks,English,2013-09-26,2013-09-27,"Family,Comedy",/tT2DN1tWk1zpCxqvaaNY8yP8Awn.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15031,https://www.themoviedb.org/movie/109451
Scooby-Doo! Mecha Mutt Menace,Scooby-Doo! Mecha Mutt Menace,Warner Bros. Television,"Moi Animation, Advantage Audio, Salami Studios",English,2013-09-24,2013-09-24,"Family,Comedy,Mystery",/6qLU4vChPzCFEkQnrZDlAYLX9BC.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51012,https://www.themoviedb.org/movie/314387
The Smurfs: The Legend of Smurfy Hollow,The Smurfs: The Legend of Smurfy Hollow,Sony Pictures Animation,,English,2013-09-12,2013-09-10,"Comedy,Family,Fantasy",/AgFkdZawIUFY20rLRX9ejQtn0q2.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=85944,https://www.themoviedb.org/movie/220845
Scooby-Doo! and the Spooky Scarecrow,Scooby-Doo! and the Spooky Scarecrow,Warner Bros. Television,"Moi Animation, Advantage Audio, Salami Studios",English,2013-09-10,2013-09-10,"Family,Mystery,Comedy",/tq2Xc3fp47F0nQsFGsnxmX8H2NS.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43878,https://www.themoviedb.org/movie/286387
The Smurfs 2,The Smurfs 2,Sony Pictures Animation,,English,2013-07-30,2013-07-31,"Fantasy,Family,Comedy",/tmjvgbEH4BKYFfHmWXjXrHgi8wT.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=85942,https://www.themoviedb.org/movie/77931
The Wind Rises,風立ちぬ,Studio Ghibli,"Telecom Animation Film Co., Ltd., Anime Torotoro, Nakamura Production",Japanese,2013-07-20,2013-07-20,"Drama,Romance",/jfwSexzlIzaOgxP9A8bTA6t8YYb.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20698,https://www.themoviedb.org/movie/149870
Khumba,Khumba,Triggerfish Animation Studios,,English,2013-07-18,2013-10-25,"Adventure,Family",/7RXXQxM4ZlmoiqQD053k8GFyegR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54681,https://www.themoviedb.org/movie/172391
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,劇場版 銀魂 完結篇 万事屋よ永遠なれ,Sunrise,"M.S.J. Musashino Production, Art Base Ban, Hadashi Pro, CL Corporation, Acca Effe, Kyushu Animation, Studio Comet, Asahi Production, Sound Box",Japanese,2013-07-04,2013-07-06,"Action,Comedy,Science Fiction",/1wEl5WHQO2SdWQ6S3gLBaaobf4c.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80650,https://www.themoviedb.org/movie/245917
Despicable Me 2,Despicable Me 2,Illumination Entertainment,,English,2013-06-26,2013-07-03,"Comedy,Family",/5Fh4NdoEnCjCK9wLjdJ9DJNFl2b.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15026,https://www.themoviedb.org/movie/93456
Crayon Shin-chan: Very Tasty! B-class Gourmet Survival!!,クレヨンしんちゃん バカうまっ！Ｂ級グルメサバイバル！！,Shin-Ei Animation,"Nakamura Production, Dangun Pictures",Japanese,2013-04-19,2013-04-20,Other,/iPN3Vy71U0B7p1R667EdifmwW1b.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81815,https://www.themoviedb.org/movie/163786
Iron Man: Rise of Technovore,アイアンマン：ライズ・オブ・テクノヴォア,Madhouse,"Dr Movie, Nakamura Production, Studio Easter, Studio Elle, Fan Out, Triple A, Yuhodo, GoHands, Anihouse Sun, Graphinica",Japanese,2013-04-24,2013-04-24,"Science Fiction,Action",/eHDez1uN5X2ZAq4niX7HvhyZIIO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=60217,https://www.themoviedb.org/movie/169934
Aura: Koga Maryuin's Last War,AURA ～魔竜院光牙最後の闘い～,AIC,,Japanese,2013-04-13,2013-04-13,"Comedy,Drama,Fantasy,Romance",/gYS6tflgvQDc7N0E1RTDQRpq5d.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83210,https://www.themoviedb.org/movie/225086
