adult,backdrop_path,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,tmdbUrl
FALSE,/wwEFVJKica2oPEVTWIFxqqcbGR5.jpg,en,The Land Before Time VII: The Stone of Cold Fire,"Littlefoot and his pals set off in search of a ""stone of cold fire"" that fell from the night sky. Since he's the only one who has seen it though, nobody really believes him. Petrie's uncle Pterano offers support only because he thinks the stone has secret powers and wants it for himself but conceals this from the rest. The young dinos must figure out the truth, before Pterano gets the power.",21.102,/waUASz6cHXXDVIUomIIwqsGGjzM.jpg,2000-12-05,The Land Before Time VII: The Stone of Cold Fire,FALSE,6.1,261,"Adventure,Animation,Drama,Family",https://www.themoviedb.org/movie/24102
FALSE,/17s9ojb8j8QnBGCfqDUJraXLlFi.jpg,ja,BLOOD THE LAST VAMPIRE,"In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon.",18.655,/2yysSRyqa4ubIDpQcQpG8SuYcl6.jpg,2000-11-18,Blood: The Last Vampire,FALSE,6.825,305,"Animation,Fantasy,Horror",https://www.themoviedb.org/movie/919
FALSE,/n88p2RDLHfaa3qfOAiWVR5ANeY8.jpg,en,Joseph: King of Dreams,"In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers.",44.494,/sUKImRHScrjrvaG2FwxCRY5ldtx.jpg,2000-11-07,Joseph: King of Dreams,FALSE,6.811,949,"Family,Animation,Fantasy",https://www.themoviedb.org/movie/16366
FALSE,/9yxIBACv6GZs9JrhizDW6SEYaNu.jpg,en,Rugrats in Paris: The Movie,"A group of rambunctious toddlers travel a trip to Paris. As they journey from the Eiffel Tower to Notre Dame, they learn new lessons about trust, loyalty and love.",16.164,/fDV5s6Wb21lGq5fWuLxXtAdWobT.jpg,2000-11-17,Rugrats in Paris: The Movie,FALSE,6.626,434,"Family,Animation,Adventure,Comedy",https://www.themoviedb.org/movie/16340
FALSE,/l9PIBKLQGxBhnDPD191LLrhbQMz.jpg,en,Casper's Haunted Christmas,"Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results.",45.182,/3BFR30kh0O3NKR1Sfea3HXCG6hw.jpg,2000-10-31,Casper's Haunted Christmas,FALSE,5.357,175,"Animation,Family,Fantasy",https://www.themoviedb.org/movie/5833
FALSE,/jBQJ1J45pqRLtABbK9LBgKL0YmE.jpg,da,"Hjælp, jeg er en fisk","Three children are accidentally transformed into fish after consuming a potion made by an eccentric scientist. The kids end up in the sea, with one problem: they must find and drink the antidote within 48 hours, or forever remain as fish.",23.95,/s9yFQD19xJqXEnAnUAZFUan25DJ.jpg,2000-10-06,Help! I'm a Fish,FALSE,6.616,402,"Adventure,Animation,Comedy,Family",https://www.themoviedb.org/movie/12609
FALSE,/4COXzXt4axwGNxOK90KJ3YD8lM9.jpg,en,Scooby-Doo and the Alien Invaders,"A cosmic case of flying saucers, intergalactic intrigue and out-of-this-world romance launches Scooby-Doo! and the Mystery Inc., Gang into their most unearthly adventure ever.",20.874,/sr3j6B3fLrZKnOvembNERKSayCv.jpg,2000-10-03,Scooby-Doo and the Alien Invaders,FALSE,7.133,342,"Animation,Family,Comedy,Mystery,Science Fiction",https://www.themoviedb.org/movie/20410
FALSE,/kp4rxS0Tp3xMLZzNvQ6ykWOsFBn.jpg,en,Alvin and the Chipmunks Meet the Wolfman,"As Alvin struggles with nightmares involving werewolves, the school play of Jekyll & Hyde is in jeopardy when the lead, Alvin, is suspended. In an attempt to boost his confidence, the drama teacher suggests Theodore, who's suddenly going through some canine changes.",16.992,/xvAGKjbAl2F71hterQ6BpPzQMEc.jpg,2000-08-29,Alvin and the Chipmunks Meet the Wolfman,FALSE,6.792,178,"Family,Fantasy,Comedy,Animation,Music",https://www.themoviedb.org/movie/48246
FALSE,/u2K4CWixku4K2Zb8ccWmxWNKBN9.jpg,ja,吸血鬼ハンターD ブラッドラスト,"D has been hired to track down Meier Link, a notoriously powerful vampire who has abducted a woman, Charlotte Elbourne. D's orders are strict - find Charlotte, at any cost. For the first time, D faces serious competition. The Markus Brothers, a family of Vampire Hunters, were hired for the same bounty. D Must intercept Meier and conquer hostile forces on all sides in a deadly race against time.",30.004,/4hJUWgdmoFsNpzyTN6QjoZcaivO.jpg,2000-08-25,Vampire Hunter D: Bloodlust,FALSE,7.546,583,"Animation,Fantasy,Horror,Action",https://www.themoviedb.org/movie/15999
FALSE,/2r6tLi4p21dqVmOP5Lwge4hcDAU.jpg,en,Buzz Lightyear of Star Command: The Adventure Begins,Buzz Lightyear must battle Emperor Zurg with the help of three hopefuls who insist on being his partners.,23.658,/3IXeVITL3FJ9CKpBK7lzULuw8Ts.jpg,2000-08-08,Buzz Lightyear of Star Command: The Adventure Begins,FALSE,6.386,316,"Animation,Family,Comedy,Science Fiction,Adventure",https://www.themoviedb.org/movie/16187
FALSE,/qRgpl30lxdWfhJfd1YFJhpZJYVk.jpg,en,Rejected,A hilarious collection of animated television commercials that were rejected because of their creator's failing grip on sanity. 2001 Academy Award nominee for Best Animated Short Film.,7.456,/vbci2t9eg4l7fmPzyBaa0OFiyYP.jpg,2000-07-25,Rejected,FALSE,7.364,191,"Animation,Comedy",https://www.themoviedb.org/movie/32536
FALSE,/oat2mGKJSDW74kMujVvcZtRpGIl.jpg,ja,劇場版 カードキャプターさくら 封印されたカード,"All of the Clow Cards have been captured, and Sakura Kinomoto, the new Master of the Cards, is preparing to play the lead in the play for the town festival. However, a new evil force is causing mysterious events all over Tomoeda, including the disappearance of Sakura's cards. With Syaoran's help, Sakura must figure out the cause of these events, and save her town.",20.816,/fvXCGYKNcysMjUrGTWT16BNND6q.jpg,2000-07-15,Cardcaptor Sakura: The Sealed Card,FALSE,8.2,169,"Comedy,Animation,Adventure,Fantasy,Romance,Action",https://www.themoviedb.org/movie/31347
FALSE,/6X3qdsHcwu06GiiXwwNRWzfJ5oJ.jpg,ja,劇場版ポケットモンスター 結晶塔の帝王 ENTEI,"When Molly Hale's sadness of her father's disappearance gets to her, she unknowingly uses the Unown to create her own dream world along with Entei, who she believes to be her father. When Entei kidnaps Ash's mother, Ash along with Misty & Brock invade the mansion looking for his mom and trying to stop the mysteries of Molly's Dream World and Entei!",32.624,/g2C95ubS56O1ITXy1MgC69kAwF0.jpg,2000-07-08,Pokémon 3: The Movie,FALSE,6.513,596,"Adventure,Fantasy,Animation,Action,Family",https://www.themoviedb.org/movie/10991
FALSE,/9K1y8HCokYpuU92jKauiFwu0y7P.jpg,en,The Adventures of Rocky & Bullwinkle,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc.",13.736,/xCFSsftt2rglC81I6QLWcZSTCBM.jpg,2000-06-30,The Adventures of Rocky & Bullwinkle,FALSE,4.113,342,"Family,Adventure,Animation,Comedy,Fantasy",https://www.themoviedb.org/movie/17711
