name,featuredFilm,year,role,wikiLink,wikiImageLink
Mr. Digger,The Fox and the Hound,1981,character,https://disney.fandom.com/wiki/Mr._Digger,https://static.wikia.nocookie.net/disney/images/9/98/Mr._Digger-%28Fox_and_the_Hound%29.jpg/revision/latest?cb=20111130020338
Porcupine,The Fox and the Hound,1981,heroes,https://disney.fandom.com/wiki/Porcupine_(The_Fox_and_the_Hound),https://static.wikia.nocookie.net/disney/images/d/d9/Porcupine-%28Fox_and_the_Hound%29.jpg/revision/latest?cb=20111129060319
Dinky,The Fox and the Hound,1981,heroes,https://disney.fandom.com/wiki/Dinky_and_Boomer,https://static.wikia.nocookie.net/disney/images/1/1f/Fox-disneyscreencaps_com-1122.jpg/revision/latest?cb=20111126031836
Boomer,The Fox and the Hound,1981,heroes,https://disney.fandom.com/wiki/Dinky_and_Boomer,https://static.wikia.nocookie.net/disney/images/1/1f/Fox-disneyscreencaps_com-1122.jpg/revision/latest?cb=20111126031836
Squeeks,The Fox and the Hound,1981,character,https://disney.fandom.com/wiki/Squeaks,https://static.wikia.nocookie.net/disney/images/3/39/Profile_-_Squeaks.jpg/revision/latest?cb=20240326080343
The Bear,The Fox and the Hound,1981,villain,https://disney.fandom.com/wiki/The_Bear,https://static.wikia.nocookie.net/disney/images/8/88/Profile_-_The_Bear.jpg/revision/latest?cb=20191001184926
Taran,The Black Cauldron,1985,protagonist,https://disney.fandom.com/wiki/Taran,https://static.wikia.nocookie.net/disney/images/f/fc/Taran_profile.jpg/revision/latest?cb=20200611234032
Eilonwy,The Black Cauldron,1985,heroine,https://disney.fandom.com/wiki/Eilonwy,https://static.wikia.nocookie.net/disney/images/4/4f/Eilonwy_Profile.png
Dallben,The Black Cauldron,1985,heroes,https://disney.fandom.com/wiki/Dallben,https://static.wikia.nocookie.net/disney/images/1/1b/Blackcauldron062.jpg
Fflewddur Fflam,The Black Cauldron,1985,heroes,https://disney.fandom.com/wiki/Fflewddur_Fflam,https://static.wikia.nocookie.net/disney/images/c/c8/FflewddurFflam4.jpg
King Eidilleg,The Black Cauldron,1985,heroes,https://disney.fandom.com/wiki/King_Eidilleg,https://static.wikia.nocookie.net/disney/images/f/f6/Blackcauldron363.jpg
Gurgi,The Black Cauldron,1985,heroes,https://disney.fandom.com/wiki/Gurgi,https://static.wikia.nocookie.net/disney/images/d/d9/Gurgi.jpg
Doli,The Black Cauldron,1985,heroes,https://disney.fandom.com/wiki/Doli,https://static.wikia.nocookie.net/disney/images/c/cf/Doli.jpg
"Orddu, Orwen, and Orgoch",The Black Cauldron,1985,villain,"https://disney.fandom.com/wiki/Orddu,_Orwen,_and_Orgoch",https://static.wikia.nocookie.net/disney/images/a/a9/Blackcauldron428.jpg/revision/latest?cb=20100923014435
Creeper,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Creeper,https://static.wikia.nocookie.net/disney/images/4/40/Profile_-_Creeper.png/revision/latest?cb=20201018205201
Horned King,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Horned_King,https://static.wikia.nocookie.net/disney/images/a/ac/Horned_King_Smiling.jpg/revision/latest?cb=20220112050751
Horned King's Henchmen,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Horned_King%27s_guards,https://static.wikia.nocookie.net/disney/images/1/11/Hommes_de_mains.jpg/revision/latest?cb=20110731124458
Fair Folk,The Black Cauldron,1985,character,https://disney.fandom.com/wiki/Fair_Folk,https://static.wikia.nocookie.net/disney/images/5/51/Black-cauldron-disneyscreencaps.com-5089.jpg/revision/latest?cb=20150920163825
Arawn,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Arawn,https://static.wikia.nocookie.net/disney/images/a/a1/Vicious_Horned_King.jpg/revision/latest?cb=20131009204920
Cauldron Born,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Cauldron_Born,https://static.wikia.nocookie.net/disney/images/7/72/Blackcauldron576.jpg/revision/latest?cb=20110412003654
Gwythaints,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Gwythaints,https://static.wikia.nocookie.net/disney/images/4/4d/Black-cauldron-disneyscreencaps_com-2222.jpg/revision/latest?cb=20130313014109
Horned King's Guards,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Horned_King%27s_Guards,https://static.wikia.nocookie.net/disney/images/1/11/Hommes_de_mains.jpg/revision/latest?cb=20110731124458
Talyllyn,The Black Cauldron,1985,villain,https://disney.fandom.com/wiki/Talyllyn,https://static.wikia.nocookie.net/disney/images/c/c1/Mad_Dog.png/revision/latest?cb=20140619013058
Basil of Baker Street,The Great Mouse Detective,1986,protagonist,https://disney.fandom.com/wiki/Basil_of_Baker_Street,https://static.wikia.nocookie.net/disney/images/2/28/Basil_of_Baker_Street.png/revision/latest?cb=20160722095739
Bartholomew,The Great Mouse Detective,1986,character,https://disney.fandom.com/wiki/Bartholomew,https://static.wikia.nocookie.net/disney/images/9/9f/Mousedetective274.jpg/revision/latest?cb=20101201182946
Professor Ratigan,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Professor_Ratigan,https://static.wikia.nocookie.net/disney/images/e/ec/Professor_Ratigan.png/revision/latest?cb=20160709093623
David Q. Dawson,The Great Mouse Detective,1986,heroes,https://disney.fandom.com/wiki/David_Q._Dawson,https://static.wikia.nocookie.net/disney/images/f/f0/David_Q._Dawson.png
Olivia Flaversham,The Great Mouse Detective,1986,heroine,https://disney.fandom.com/wiki/Olivia_Flaversham,https://static.wikia.nocookie.net/disney/images/9/9e/Olivia_Flaversham.png
Fidget,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Fidget,https://static.wikia.nocookie.net/disney/images/b/b5/Fidget_%28The_Great_Mouse_Detective%29.png/revision/latest?cb=20160709093754
Mr. Flaversham,The Great Mouse Detective,1986,heroes,https://disney.fandom.com/wiki/Mr._Flaversham,https://static.wikia.nocookie.net/disney/images/c/c6/Hiram.png
Mrs. Judson,The Great Mouse Detective,1986,character,https://disney.fandom.com/wiki/Mrs._Judson,https://static.wikia.nocookie.net/disney/images/c/c3/Mousedetective072.jpg/revision/latest?cb=20100429012656
Mouse Queen,The Great Mouse Detective,1986,heroine,https://disney.fandom.com/wiki/Mouse_Queen,https://static.wikia.nocookie.net/disney/images/4/43/Basil_screencaps190.jpg
Sherlock Holmes,The Great Mouse Detective,1986,heroes,https://disney.fandom.com/wiki/Sherlock_Holmes,https://static.wikia.nocookie.net/disney/images/6/6e/File-Sherly.png
Dr. Watson,The Great Mouse Detective,1986,heroes,https://disney.fandom.com/wiki/John_Watson,https://static.wikia.nocookie.net/disney/images/3/3d/Dr._Watson.png
Thugs,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Thugs_(The_Great_Mouse_Detective),https://static.wikia.nocookie.net/disney/images/d/d1/Gmd-disneyscreencaps_com-1797.jpg/revision/latest?cb=20120506164211
Felicia,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Felicia,https://static.wikia.nocookie.net/disney/images/c/c1/Great-mouse-detective-disneyscreencaps.com-7128.jpg/revision/latest?cb=20170530033204
Fidget the Bat,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Fidget_the_Bat,https://static.wikia.nocookie.net/disney/images/b/b5/Fidget_%28The_Great_Mouse_Detective%29.png/revision/latest?cb=20160709093754
Ratigan,The Great Mouse Detective,1986,villain,https://disney.fandom.com/wiki/Ratigan,https://static.wikia.nocookie.net/disney/images/e/ec/Professor_Ratigan.png/revision/latest?cb=20160709093623
Ariel,The Little Mermaid,1989,protagonist,https://disney.fandom.com/wiki/Ariel,https://static.wikia.nocookie.net/disney/images/8/8a/Profile_-_Ariel.jpg/revision/latest?cb=20230913063128
King Triton,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/King_Triton,https://static.wikia.nocookie.net/disney/images/d/df/Profile_-_King_Triton.jpeg
Prince Eric,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/Prince_Eric,https://static.wikia.nocookie.net/disney/images/f/f1/Profile_-_Prince_Eric.jpeg
Sebastian,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/Sebastian,https://static.wikia.nocookie.net/disney/images/c/ca/Profile_-_Sebastian.jpeg
Scuttle,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/Scuttle,https://static.wikia.nocookie.net/disney/images/f/fe/Profile_-_Scuttle.png
Flounder,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/Flounder,https://static.wikia.nocookie.net/disney/images/6/60/Profile_-_Flounder.jpeg
Grimsby,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/Grimsby,https://static.wikia.nocookie.net/disney/images/d/df/Profile_-_Grismby.jpg
Ursula,The Little Mermaid,1989,villain,https://disney.fandom.com/wiki/Ursula,https://static.wikia.nocookie.net/disney/images/7/72/Profile_-_Ursula.jpeg/revision/latest?cb=20201204230949
Carlotta,The Little Mermaid,1989,heroine,https://disney.fandom.com/wiki/Carlotta,https://static.wikia.nocookie.net/disney/images/2/2c/Carlotta_TLM.jpg
Chef Louis,The Little Mermaid,1989,character,https://disney.fandom.com/wiki/Chef_Louis,https://static.wikia.nocookie.net/disney/images/9/90/Chef_Louis_TLM.jpg/revision/latest?cb=20151211120323
Alana,The Little Mermaid,1989,heroines,https://disney.fandom.com/wiki/King_Triton%27s_Daughters,https://static.wikia.nocookie.net/disney/images/0/07/Little-mermaid-1080p-disneyscreencaps.com-555.jpg/revision/latest?cb=20131110221925
Adella,The Little Mermaid,1989,heroines,https://disney.fandom.com/wiki/King_Triton%27s_Daughters,https://static.wikia.nocookie.net/disney/images/0/07/Little-mermaid-1080p-disneyscreencaps.com-555.jpg/revision/latest?cb=20131110221925
Arista,The Little Mermaid,1989,heroines,https://disney.fandom.com/wiki/King_Triton%27s_Daughters,https://static.wikia.nocookie.net/disney/images/0/07/Little-mermaid-1080p-disneyscreencaps.com-555.jpg/revision/latest?cb=20131110221925
Andrina,The Little Mermaid,1989,heroines,https://disney.fandom.com/wiki/King_Triton%27s_Daughters,https://static.wikia.nocookie.net/disney/images/0/07/Little-mermaid-1080p-disneyscreencaps.com-555.jpg/revision/latest?cb=20131110221925
Flotsam and Jetsam,The Little Mermaid,1989,villain,https://disney.fandom.com/wiki/Flotsam_and_Jetsam,https://static.wikia.nocookie.net/disney/images/6/62/Flotsam_and_Jetsam.jpg/revision/latest?cb=20160706152348
Seahorse Herald,The Little Mermaid,1989,heroes,https://disney.fandom.com/wiki/The_Seahorse_Herald,https://static.wikia.nocookie.net/disney/images/d/d9/The_Seahorse_Herald_announcing.jpg/revision/latest?cb=20130914130721
Glut the Shark,The Little Mermaid,1989,villain,https://disney.fandom.com/wiki/Glut_the_Shark,https://static.wikia.nocookie.net/disney/images/b/b7/Glut_the_Shark.jpg/revision/latest?cb=20230519210309
Octopan,The Little Mermaid,1989,villain,https://disney.fandom.com/wiki/Octopan,https://static.wikia.nocookie.net/disney/images/b/bc/Octopans.png/revision/latest?cb=20210415144944
Scrooge McDuck,DuckTales the Movie: Treasure of the Lost Lamp,1990,protagonist,https://disney.fandom.com/wiki/Scrooge_McDuck,https://static.wikia.nocookie.net/disney/images/5/54/Scrooge_McDuck.png/revision/latest?cb=20240221055606
Launchpad McQuack,DuckTales the Movie: Treasure of the Lost Lamp,1990,protagonist,https://disney.fandom.com/wiki/Launchpad_McQuack,https://static.wikia.nocookie.net/disney/images/9/9b/Croppedimage318436-jetmcquackintera.png/revision/latest?cb=20140724152301
"Huey, Dewey, Louie",DuckTales the Movie: Treasure of the Lost Lamp,1990,protagonist,"https://disney.fandom.com/wiki/Huey,_Dewey,_and_Louie",https://static.wikia.nocookie.net/disney/images/4/43/Huey_Dewey_Louie_artwork.jpg/revision/latest?cb=20130601154411
Webby,DuckTales the Movie: Treasure of the Lost Lamp,1990,heroines,https://disney.fandom.com/wiki/Webby_Vanderquack,https://static.wikia.nocookie.net/disney/images/6/65/Webby.jpg/revision/latest?cb=20100326215204
Dijon,DuckTales the Movie: Treasure of the Lost Lamp,1990,villain,https://disney.fandom.com/wiki/Dijon,https://static.wikia.nocookie.net/disney/images/3/3e/Profile_-_Dijon.jpg/revision/latest?cb=20110421011602
Merlock,DuckTales the Movie: Treasure of the Lost Lamp,1990,villain,https://disney.fandom.com/wiki/Merlock_the_Magician,https://static.wikia.nocookie.net/disney/images/b/b0/Merlock.png/revision/latest?cb=20170411204826
Mrs. Featherby,DuckTales the Movie: Treasure of the Lost Lamp,1990,heroines,https://disney.fandom.com/wiki/Emily_Quackfaster,https://static.wikia.nocookie.net/disney/images/1/1c/Profile_-_Miss_Quackfaster.jpg/revision/latest?cb=20130329040537
Duckworth,DuckTales the Movie: Treasure of the Lost Lamp,1990,heroes,https://disney.fandom.com/wiki/Duckworth,https://static.wikia.nocookie.net/disney/images/a/a4/Duckworth01.jpg
Bentina Beakley,DuckTales the Movie: Treasure of the Lost Lamp,1990,heroine,https://disney.fandom.com/wiki/Bentina_Beakley,https://static.wikia.nocookie.net/disney/images/5/58/Mrs._Beakley.jpg
Gene the Genie,DuckTales the Movie: Treasure of the Lost Lamp,1990,protagonist,https://disney.fandom.com/wiki/Gene_the_Genie,https://static.wikia.nocookie.net/disney/images/6/65/Gene_the_Genie.png/revision/latest?cb=20160728212205
Merlock the Magician,DuckTales the Movie: Treasure of the Lost Lamp,1990,villain,https://disney.fandom.com/wiki/Merlock_the_Magician,https://static.wikia.nocookie.net/disney/images/b/b0/Merlock.png/revision/latest?cb=20170411204826
Cinnamon Teal,DuckTales the Movie: Treasure of the Lost Lamp,1990,villain,https://disney.fandom.com/wiki/Cinnamon_Teal,https://static.wikia.nocookie.net/disney/images/7/7f/Cinnamon_Teal06.jpg/revision/latest?cb=20130912072131
Belle,Beauty and the Beast,1991,protagonist,https://disney.fandom.com/wiki/Belle,https://static.wikia.nocookie.net/disney/images/1/1b/Profile_-_Belle.jpeg/revision/latest?cb=20230913063206
Beast,Beauty and the Beast,1991,protagonist,https://disney.fandom.com/wiki/Beast,https://static.wikia.nocookie.net/disney/images/8/84/Profile_-_Beast.jpeg/revision/latest?cb=20190312024919
Gaston,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Gaston,https://static.wikia.nocookie.net/disney/images/d/d4/Profile_-_Gaston.jpeg/revision/latest?cb=20190312024648
Lumiere,Beauty and the Beast,1991,heroes,https://disney.fandom.com/wiki/Lumiere,https://static.wikia.nocookie.net/disney/images/f/f5/Profile_-_Lumiere.jpeg
Mrs. Potts,Beauty and the Beast,1991,heroine,https://disney.fandom.com/wiki/Mrs._Potts,https://static.wikia.nocookie.net/disney/images/7/76/Profile_-_Mrs._Potts.jpeg
Cogsworth,Beauty and the Beast,1991,heroes,https://disney.fandom.com/wiki/Cogsworth,https://static.wikia.nocookie.net/disney/images/b/bd/Profile_-_Cogsworth.png
Chip,Beauty and the Beast,1991,heroes,https://disney.fandom.com/wiki/Chip_Potts,https://static.wikia.nocookie.net/disney/images/a/ac/Profile_-_Chip.png/revision/latest?cb=20190312091339
LeFou,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/LeFou,https://static.wikia.nocookie.net/disney/images/c/c8/Profile_-_LeFou.jpeg/revision/latest?cb=20190312062414
Maurice,Beauty and the Beast,1991,heroes,https://disney.fandom.com/wiki/Maurice,https://static.wikia.nocookie.net/disney/images/a/a0/Maurice_BATB.jpg
Philippe,Beauty and the Beast,1991,heroes,https://disney.fandom.com/wiki/Philippe,https://static.wikia.nocookie.net/disney/images/4/4e/Beauty-disneyscreencaps.com-1030.jpg
Wardrobe,Beauty and the Beast,1991,heroine,https://disney.fandom.com/wiki/Wardrobe,https://static.wikia.nocookie.net/disney/images/1/10/Wardrobe_BATB.jpg
Fifi,Beauty and the Beast,1991,heroine,https://disney.fandom.com/wiki/Fifi,https://static.wikia.nocookie.net/disney/images/d/d9/Profile_-_Fifi.png
the Bimbettes,Beauty and the Beast,1991,character,https://disney.fandom.com/wiki/The_Bimbettes,https://static.wikia.nocookie.net/disney/images/e/e1/Profile_-_The_Bimbettes.png/revision/latest?cb=20190317035114
Monsieur D'Arque,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Monsieur_D%27Arque,https://static.wikia.nocookie.net/disney/images/9/91/Profile_-_Monsieur_D%27Arque.jpg/revision/latest?cb=20211117225020
Wolves,Beauty and the Beast,1991,character,https://disney.fandom.com/wiki/Wolves,https://static.wikia.nocookie.net/disney/images/c/c6/Beauty-disneyscreencaps_com-5227.jpg/revision/latest?cb=20120808204034
Belle's Sisters,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Belle%27s_Sisters,https://static.wikia.nocookie.net/disney/images/a/a0/Belle%27s_Sisters_Concept.jpg/revision/latest?cb=20180304070230
Belle's Suitors,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Belle%27s_Suitors,https://static.wikia.nocookie.net/disney/images/8/8a/Belle%27s_Sisters_Concept_Art_%281%29.jpg/revision/latest?cb=20180304070522
Gaston's Cronies,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Gaston%27s_Cronies,https://static.wikia.nocookie.net/disney/images/a/a8/Beauty-disneyscreencaps.com-3019-1-.jpg/revision/latest?cb=20200526213050
Marguerite,Beauty and the Beast,1991,villain,https://disney.fandom.com/wiki/Marguerite,https://static.wikia.nocookie.net/disney/images/8/8e/Marguerite.png/revision/latest?cb=20120511203153
Aladdin,Aladdin,1992,protagonist,https://disney.fandom.com/wiki/Aladdin_(character),https://static.wikia.nocookie.net/disney/images/b/bb/Profile_-_Aladdin.png/revision/latest?cb=20190829033153
Genie,Aladdin,1992,heroes,https://disney.fandom.com/wiki/Genie,https://static.wikia.nocookie.net/disney/images/9/92/Profile_-_Genie.jpeg
Peddler,Aladdin,1992,character,https://disney.fandom.com/wiki/Peddler,https://static.wikia.nocookie.net/disney/images/a/ac/Peddler_Aladdin.jpg/revision/latest?cb=20151018101139
Jasmine,Aladdin,1992,protagonist,https://disney.fandom.com/wiki/Jasmine,https://static.wikia.nocookie.net/disney/images/c/cd/Profile_-_Jasmine.jpeg/revision/latest?cb=20190312021628
Jafar,Aladdin,1992,villain,https://disney.fandom.com/wiki/Jafar,https://static.wikia.nocookie.net/disney/images/6/60/Profile_-_Jafar.jpeg/revision/latest?cb=20190312023726
Abu,Aladdin,1992,heroes,https://disney.fandom.com/wiki/Abu,https://static.wikia.nocookie.net/disney/images/3/3f/Profile_-_Abu.png
Rajah,Aladdin,1992,heroes,https://disney.fandom.com/wiki/Rajah,https://static.wikia.nocookie.net/disney/images/0/02/Profile_-_Rajah.jpeg
Cave of Wonders,Aladdin,1992,character,https://disney.fandom.com/wiki/Cave_of_Wonders,https://static.wikia.nocookie.net/disney/images/9/94/Aladdin-disneyscreencaps.com-372.jpg/revision/latest?cb=20140809202707
Iago,Aladdin,1992,protagonist,https://disney.fandom.com/wiki/Iago,https://static.wikia.nocookie.net/disney/images/6/69/Profile_-_Iago.jpeg/revision/latest?cb=20190312023536
the Sultan,Aladdin,1992,heroes,https://disney.fandom.com/wiki/The_Sultan,https://static.wikia.nocookie.net/disney/images/3/31/Profile_-_The_Sultan.jpeg/revision/latest?cb=20190320105001
Razoul,Aladdin,1992,character,https://disney.fandom.com/wiki/Razoul,https://static.wikia.nocookie.net/disney/images/a/a5/Razoul_Aladdin.jpg/revision/latest?cb=20160508234000
Farouk,Aladdin,1992,character,https://disney.fandom.com/wiki/Farouk,https://static.wikia.nocookie.net/disney/images/1/1c/Farouk.jpg/revision/latest?cb=20191017160505
Cassim,Aladdin,1992,heroes,https://disney.fandom.com/wiki/Cassim,https://static.wikia.nocookie.net/disney/images/d/d5/Profile_-_Cassim.jpeg
Sa'Luk,Aladdin,1992,villain,https://disney.fandom.com/wiki/Sa%27Luk,https://static.wikia.nocookie.net/disney/images/6/6f/SaLuk.png/revision/latest?cb=20131226024503
The Oracle,Aladdin,1992,heroine,https://disney.fandom.com/wiki/The_Oracle,https://static.wikia.nocookie.net/disney/images/0/04/Aladdin3-disneyscreencaps_com-2241.jpg
The Peddler,Aladdin,1992,character,https://disney.fandom.com/wiki/Peddler,https://static.wikia.nocookie.net/disney/images/a/ac/Peddler_Aladdin.jpg/revision/latest?cb=20151018101139
Abis Mal,Aladdin,1992,villain,https://disney.fandom.com/wiki/Abis_Mal,https://static.wikia.nocookie.net/disney/images/b/b6/Abismal.jpg/revision/latest?cb=20100628210636
Forty Thieves,Aladdin,1992,villain,https://disney.fandom.com/wiki/Forty_Thieves,https://static.wikia.nocookie.net/disney/images/7/74/FortyThieves.jpg/revision/latest?cb=20170916033846
Gazeem,Aladdin,1992,villain,https://disney.fandom.com/wiki/Gazeem,https://static.wikia.nocookie.net/disney/images/0/0d/Gazeem.jpg/revision/latest?cb=20120516031133
Kion,The Lion King,1994,protagonist,https://disney.fandom.com/wiki/Kion,https://static.wikia.nocookie.net/disney/images/7/78/Profile_-_Kion_S3.png/revision/latest?cb=20240804061257
Simba,The Lion King,1994,protagonist,https://disney.fandom.com/wiki/Simba,https://static.wikia.nocookie.net/disney/images/3/37/Profile_-_Simba.jpeg/revision/latest?cb=20190312043852
Nala,The Lion King,1994,heroine,https://disney.fandom.com/wiki/Nala,https://static.wikia.nocookie.net/disney/images/5/55/Profile_-_Nala.jpeg
Kiara,The Lion King,1994,protagonist,https://disney.fandom.com/wiki/Kiara,https://static.wikia.nocookie.net/disney/images/d/da/Profile_-_Kiara.jpg/revision/latest?cb=20190720054010
Rafiki,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Rafiki,https://static.wikia.nocookie.net/disney/images/3/32/Profile_-_Rafiki.jpeg
Timon,The Lion King,1994,protagonist,https://disney.fandom.com/wiki/Timon,https://static.wikia.nocookie.net/disney/images/4/45/Profile_-_Timon.jpeg/revision/latest?cb=20240710121924
Pumbaa,The Lion King,1994,protagonist,https://disney.fandom.com/wiki/Pumbaa,https://static.wikia.nocookie.net/disney/images/e/e6/Profile_-_Pumbaa.jpeg/revision/latest?cb=20190312043302
Mufasa,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Mufasa,https://static.wikia.nocookie.net/disney/images/5/5e/Mufasa_Lion_King_.jpg
Zazu,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Zazu,https://static.wikia.nocookie.net/disney/images/9/95/Profile_-_Zazu.jpeg
Bunga,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Bunga,https://static.wikia.nocookie.net/disney/images/7/73/Profile_-_Bunga.png
Fuli,The Lion King,1994,heroine,https://disney.fandom.com/wiki/Fuli,https://static.wikia.nocookie.net/disney/images/f/fb/Profile_-_Fuli.png
Beshte,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Beshte,https://static.wikia.nocookie.net/disney/images/b/bf/Beshte_11.jpg
Ono,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Ono,https://static.wikia.nocookie.net/disney/images/f/f6/Profile_-_Ono.png
Tiifu,The Lion King,1994,character,https://disney.fandom.com/wiki/Tiifu,https://static.wikia.nocookie.net/disney/images/a/ae/Imagetlgrofrtiifu.png/revision/latest?cb=20151109091532
Zuri,The Lion King,1994,character,https://disney.fandom.com/wiki/Zuri,https://static.wikia.nocookie.net/disney/images/d/d7/Imagetlgrotrzuri.png/revision/latest?cb=20151109151403
Janja,The Lion King,1994,villain,https://disney.fandom.com/wiki/Janja,https://static.wikia.nocookie.net/disney/images/5/5a/Janja-Hyena.png/revision/latest?cb=20240805000231
Mzingo,The Lion King,1994,character,https://disney.fandom.com/wiki/Mzingo,https://static.wikia.nocookie.net/disney/images/7/7c/Mzingo-img.png/revision/latest?cb=20161128183834
Cheezi,The Lion King,1994,villain,https://disney.fandom.com/wiki/Cheezi,https://static.wikia.nocookie.net/disney/images/2/27/Cheezi.png/revision/latest?cb=20151114203145
Chungu,The Lion King,1994,villain,https://disney.fandom.com/wiki/Chungu,https://static.wikia.nocookie.net/disney/images/5/5e/Chungu-img.png/revision/latest?cb=20161128215846
Nne,The Lion King,1994,character,https://disney.fandom.com/wiki/Nne,https://static.wikia.nocookie.net/disney/images/2/2c/Nne.png/revision/latest?cb=20160828192446
Tano,The Lion King,1994,villain,https://disney.fandom.com/wiki/Tano,https://static.wikia.nocookie.net/disney/images/f/f9/Tano.png/revision/latest?cb=20160828192217
Big Baboon,The Lion King,1994,character,https://disney.fandom.com/wiki/Big_Baboon,https://static.wikia.nocookie.net/disney/images/7/79/Big_Baboon.jpg/revision/latest?cb=20231016155310
Makuu,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Makuu,https://static.wikia.nocookie.net/disney/images/9/92/Makuu.png
Ushari,The Lion King,1994,villain,https://disney.fandom.com/wiki/Ushari,https://static.wikia.nocookie.net/disney/images/b/bc/Ushariprofile.png/revision/latest?cb=20160111024114
Zito,The Lion King,1994,character,https://disney.fandom.com/wiki/Zito,https://static.wikia.nocookie.net/disney/images/d/db/Zito.png/revision/latest?cb=20190922014043
Mwoga,The Lion King,1994,character,https://disney.fandom.com/wiki/Mwoga,https://static.wikia.nocookie.net/disney/images/4/45/Mwoga-img.png/revision/latest?cb=20160809231616
Scar,The Lion King,1994,villain,https://disney.fandom.com/wiki/Scar,https://static.wikia.nocookie.net/disney/images/6/66/Profile_-_Scar.jpeg/revision/latest?cb=20190312021344
Sarabi,The Lion King,1994,heroine,https://disney.fandom.com/wiki/Sarabi,https://static.wikia.nocookie.net/disney/images/2/2f/Sarabi.jpg
Shenzi,The Lion King,1994,villain,"https://disney.fandom.com/wiki/Shenzi,_Banzai,_and_Ed",https://static.wikia.nocookie.net/disney/images/b/b3/Lionking-disneyscreencaps.com-2439.jpg/revision/latest?cb=20190720053112
Banzai,The Lion King,1994,villain,"https://disney.fandom.com/wiki/Shenzi,_Banzai,_and_Ed",https://static.wikia.nocookie.net/disney/images/b/b3/Lionking-disneyscreencaps.com-2439.jpg/revision/latest?cb=20190720053112
Ed,The Lion King,1994,villain,"https://disney.fandom.com/wiki/Shenzi,_Banzai,_and_Ed",https://static.wikia.nocookie.net/disney/images/b/b3/Lionking-disneyscreencaps.com-2439.jpg/revision/latest?cb=20190720053112
Mole,The Lion King,1994,character,https://disney.fandom.com/wiki/Mole_(The_Lion_King),https://static.wikia.nocookie.net/disney/images/5/51/Mole_%28The_Lion_King%29.png/revision/latest?cb=20220725210849
Sarafina,The Lion King,1994,heroine,https://disney.fandom.com/wiki/Sarafina,https://static.wikia.nocookie.net/disney/images/3/3a/Blueraysarafina.png
Azizi,The Lion King,1994,villain,"https://disney.fandom.com/wiki/Shenzi,_Banzai,_and_Ed",https://static.wikia.nocookie.net/disney/images/b/b3/Lionking-disneyscreencaps.com-2439.jpg/revision/latest?cb=20190720053112
Kamari,The Lion King,1994,villain,"https://disney.fandom.com/wiki/Shenzi,_Banzai,_and_Ed",https://static.wikia.nocookie.net/disney/images/b/b3/Lionking-disneyscreencaps.com-2439.jpg/revision/latest?cb=20190720053112
Ma,The Lion King,1994,heroines,https://disney.fandom.com/wiki/Timon%27s_Mother,https://static.wikia.nocookie.net/disney/images/6/63/Profile_-_Ma.jpg/revision/latest?cb=20190720055523
Uncle Max,The Lion King,1994,heroes,https://disney.fandom.com/wiki/Uncle_Max,https://static.wikia.nocookie.net/disney/images/f/f6/FearbyNoOneEatenByAll.png
Taka,The Lion King,1994,villain,https://disney.fandom.com/wiki/Scar,https://static.wikia.nocookie.net/disney/images/6/66/Profile_-_Scar.jpeg/revision/latest?cb=20190312021344
Baasho,The Lion King,1994,villain,https://disney.fandom.com/wiki/Baasho,https://static.wikia.nocookie.net/disney/images/1/14/Baashodash.png/revision/latest?cb=20130718012533
